student_id,date,week,day_of_week,sleep_hours,bedtime_hour,lms_logins,study_hours,social_score,dining_visits,assignment_delta
STU0001,2024-10-03,5,3,7.26,24.05,3,3.44,6.42,3,1.53
STU0001,2024-10-04,5,4,6.91,23.66,5,3.2,4.96,3,0.77
STU0001,2024-10-05,5,5,8.67,22.51,2,1.29,8.08,2,0.37
STU0001,2024-10-06,5,6,7.96,23.84,1,3.08,9.57,0,4.23
STU0001,2024-10-07,6,0,7.36,22.55,2,3.61,8.31,2,4.07
STU0001,2024-10-08,6,1,6.43,22.99,2,4.16,8.26,2,-2.11
STU0001,2024-10-09,6,2,7.42,23.22,4,5.04,5.91,2,3.59
STU0001,2024-10-10,6,3,6.23,23.16,3,3.72,7.62,2,0.79
STU0001,2024-10-11,6,4,7.32,22.46,2,4.48,5.82,2,2.49
STU0001,2024-10-12,6,5,7.16,23.16,2,1.52,6.64,2,2.98
STU0001,2024-10-13,6,6,8.05,23.2,3,4.24,8.37,2,0.59
STU0001,2024-10-14,7,0,6.8,23.26,4,5.2,7.98,1,3.38
STU0001,2024-10-15,7,1,6.7,22.81,4,5.8,10.0,2,1.53
STU0001,2024-10-16,7,2,7.62,23.44,3,5.6,7.48,2,2.8
STU0001,2024-10-17,7,3,7.55,23.42,3,3.24,5.88,2,2.97
STU0001,2024-10-18,7,4,7.57,23.84,4,4.47,5.89,2,2.84
STU0001,2024-10-19,7,5,8.71,23.35,1,0.98,6.77,2,2.66
STU0001,2024-10-20,7,6,8.5,23.52,1,1.84,8.04,2,2.54
STU0001,2024-10-21,8,0,6.98,21.92,5,3.32,6.16,2,1.21
STU0001,2024-10-22,8,1,7.94,23.31,5,2.43,8.65,2,1.25
STU0001,2024-10-23,8,2,7.39,22.11,4,2.77,5.58,1,3.47
STU0001,2024-10-24,8,3,6.92,23.77,3,2.09,5.86,3,1.57
STU0001,2024-10-25,8,4,6.97,23.08,4,4.92,8.94,2,-0.19
STU0001,2024-10-26,8,5,7.95,23.63,0,1.54,7.61,1,1.85
STU0001,2024-10-27,8,6,7.74,23.38,0,3.39,8.44,0,0.41
STU0001,2024-10-28,9,0,6.4,22.67,4,2.35,6.09,1,2.11
STU0001,2024-10-29,9,1,7.34,22.64,4,3.25,6.87,3,3.81
STU0001,2024-10-30,9,2,6.52,23.41,5,2.65,8.18,3,0.12
STU0001,2024-10-31,9,3,6.75,23.51,4,4.35,7.61,2,-0.19
STU0001,2024-11-01,9,4,7.93,23.58,3,3.76,5.36,2,2.66
STU0001,2024-11-02,9,5,8.16,24.06,1,3.06,5.98,1,1.54
STU0001,2024-11-03,9,6,8.34,23.32,1,3.33,6.68,0,4.42
STU0001,2024-11-04,10,0,8.13,22.35,5,3.3,7.52,2,1.45
STU0001,2024-11-05,10,1,6.83,22.65,3,2.97,7.12,1,2.82
STU0001,2024-11-06,10,2,8.19,22.71,4,4.3,7.77,2,2.91
STU0001,2024-11-07,10,3,7.59,22.38,5,4.69,6.28,2,2.82
STU0001,2024-11-08,10,4,7.17,23.54,7,3.01,5.54,2,2.88
STU0001,2024-11-09,10,5,8.06,24.23,0,3.19,6.47,3,4.79
STU0001,2024-11-10,10,6,7.74,23.23,2,2.11,7.15,2,-1.08
STU0001,2024-11-11,11,0,7.29,22.66,3,5.24,5.69,3,1.38
STU0001,2024-11-12,11,1,7.13,23.4,4,4.37,8.36,2,0.88
STU0001,2024-11-13,11,2,6.65,22.59,7,5.04,5.58,1,2.52
STU0001,2024-11-14,11,3,7.63,23.27,3,3.67,7.59,2,-1.53
STU0001,2024-11-15,11,4,7.16,22.57,4,6.79,7.64,2,3.18
STU0001,2024-11-16,11,5,8.49,23.71,2,4.56,5.84,2,0.41
STU0001,2024-11-17,11,6,8.53,23.04,0,2.2,8.37,2,-0.07
STU0001,2024-11-18,12,0,7.33,22.65,2,3.58,6.83,4,2.45
STU0001,2024-11-19,12,1,6.47,22.72,5,5.89,5.3,1,4.61
STU0001,2024-11-20,12,2,7.53,22.57,4,1.16,7.2,2,3.19
STU0001,2024-11-21,12,3,6.69,23.04,3,4.06,6.13,2,0.31
STU0001,2024-11-22,12,4,7.69,23.43,3,3.84,5.46,2,1.72
STU0001,2024-11-23,12,5,9.77,22.94,3,3.5,7.54,3,2.36
STU0001,2024-11-24,12,6,8.43,23.47,2,3.6,6.45,1,1.5
STU0001,2024-11-25,13,0,6.82,22.97,5,3.34,7.15,2,3.07
STU0001,2024-11-26,13,1,5.95,22.7,4,5.0,6.61,1,2.73
STU0001,2024-11-27,13,2,6.92,22.41,3,3.62,6.47,0,3.15
STU0001,2024-11-28,13,3,8.06,23.33,2,3.6,7.19,2,2.8
STU0001,2024-11-29,13,4,6.86,23.04,4,5.26,8.05,3,1.93
STU0001,2024-11-30,13,5,9.05,23.7,0,3.9,8.04,1,1.08
STU0001,2024-12-01,13,6,8.38,23.73,1,2.81,9.24,2,2.09
STU0001,2024-12-02,14,0,7.86,22.48,4,5.61,6.94,1,0.82
STU0001,2024-12-03,14,1,6.65,22.61,3,2.39,7.22,3,0.44
STU0001,2024-12-04,14,2,8.21,23.26,5,3.14,8.23,1,3.14
STU0001,2024-12-05,14,3,7.4,23.28,2,2.9,7.92,1,2.49
STU0001,2024-12-06,14,4,6.48,23.42,2,4.35,7.95,2,2.67
STU0001,2024-12-07,14,5,8.36,23.23,0,0.54,7.62,0,1.94
STU0001,2024-12-08,14,6,8.04,23.84,1,2.17,8.08,2,2.27
STU0001,2024-12-09,15,0,7.58,22.23,5,4.41,5.98,2,1.74
STU0001,2024-12-10,15,1,7.22,23.17,5,4.88,5.63,2,3.79
STU0001,2024-12-11,15,2,7.53,23.55,6,4.82,7.5,3,2.02
STU0001,2024-12-12,15,3,7.31,22.82,6,2.98,9.04,2,-0.3
STU0001,2024-12-13,15,4,7.52,21.95,4,4.69,6.49,2,4.73
STU0001,2024-12-14,15,5,7.9,22.97,3,4.46,7.2,2,3.81
STU0001,2024-12-15,15,6,7.75,23.26,2,4.19,7.88,1,4.78
STU0001,2024-12-16,16,0,6.98,22.83,4,5.35,8.22,2,2.49
STU0001,2024-12-17,16,1,7.33,23.28,1,3.5,7.49,1,2.38
STU0001,2024-12-18,16,2,7.18,23.88,6,3.33,7.02,2,1.12
STU0001,2024-12-19,16,3,7.42,22.62,2,4.42,7.96,1,3.14
STU0001,2024-12-20,16,4,6.92,23.13,5,3.77,7.75,2,1.51
STU0001,2024-12-21,16,5,8.08,23.13,1,0.95,6.61,1,1.42
STU0001,2024-12-22,16,6,8.06,23.47,2,3.37,6.42,1,0.24
STU0002,2024-09-02,1,0,7.01,22.82,3,2.5,6.65,2,2.69
STU0002,2024-09-03,1,1,6.97,22.79,3,3.77,6.18,2,-0.88
STU0002,2024-09-04,1,2,7.08,23.15,4,6.49,7.62,1,1.66
STU0002,2024-09-05,1,3,6.23,22.96,3,4.72,6.54,2,0.85
STU0002,2024-09-06,1,4,8.34,22.84,6,4.61,7.78,2,2.39
STU0002,2024-09-07,1,5,7.04,23.36,2,2.45,5.51,1,4.36
STU0002,2024-09-08,1,6,8.95,23.47,2,2.13,5.16,1,4.14
STU0002,2024-09-09,2,0,7.02,23.02,2,5.62,8.98,3,1.39
STU0002,2024-09-10,2,1,7.36,22.38,4,2.55,7.29,0,0.74
STU0002,2024-09-11,2,2,6.68,22.84,2,3.17,8.03,0,1.96
STU0002,2024-09-12,2,3,7.92,22.89,2,3.48,8.44,1,0.83
STU0002,2024-09-13,2,4,7.48,22.59,4,4.12,6.66,0,0.3
STU0002,2024-09-14,2,5,8.41,24.26,0,2.87,4.52,0,1.58
STU0002,2024-09-15,2,6,7.54,23.18,0,2.71,6.8,0,-1.55
STU0002,2024-09-16,3,0,6.77,23.44,0,3.18,6.32,2,0.97
STU0002,2024-09-17,3,1,7.36,23.28,0,4.44,7.21,1,6.75
STU0002,2024-09-18,3,2,5.88,24.07,2,3.96,6.9,1,0.7
STU0002,2024-09-19,3,3,7.33,22.45,4,3.26,5.59,1,3.44
STU0002,2024-09-20,3,4,6.81,23.39,2,4.43,7.77,2,1.29
STU0002,2024-09-21,3,5,8.43,23.76,2,1.66,7.84,0,1.45
STU0002,2024-09-22,3,6,8.09,23.83,0,2.59,8.84,1,2.85
STU0002,2024-09-23,4,0,6.79,22.85,4,4.5,8.61,1,1.1
STU0002,2024-09-24,4,1,6.08,23.1,4,3.15,7.61,1,1.93
STU0002,2024-09-25,4,2,6.37,23.34,0,3.43,4.89,2,2.61
STU0002,2024-09-26,4,3,7.34,24.06,2,5.37,7.96,1,3.15
STU0002,2024-09-27,4,4,6.4,22.89,2,3.09,5.57,2,1.05
STU0002,2024-09-28,4,5,8.17,23.51,0,2.59,4.55,0,-0.61
STU0002,2024-09-29,4,6,9.15,24.25,0,3.58,5.83,1,1.74
STU0002,2024-09-30,5,0,7.12,24.06,4,3.84,4.71,0,1.11
STU0002,2024-10-01,5,1,7.02,22.85,6,5.06,7.42,1,0.98
STU0002,2024-10-02,5,2,6.39,23.46,3,2.31,7.1,1,-1.57
STU0002,2024-10-03,5,3,6.45,23.21,5,4.1,5.09,1,-1.02
STU0002,2024-10-04,5,4,7.61,23.18,3,4.87,5.15,0,0.42
STU0002,2024-10-05,5,5,8.49,23.16,0,1.8,7.36,1,0.6
STU0002,2024-10-06,5,6,7.62,24.5,0,1.86,6.92,1,0.53
STU0002,2024-10-07,6,0,6.86,22.33,2,3.91,5.33,1,1.78
STU0002,2024-10-08,6,1,6.63,23.66,2,3.25,7.24,1,0.23
STU0002,2024-10-09,6,2,6.97,23.94,0,4.61,6.1,1,2.9
STU0002,2024-10-10,6,3,6.01,23.22,2,2.67,8.59,0,0.27
STU0002,2024-10-11,6,4,6.96,22.98,2,3.77,6.11,1,0.31
STU0002,2024-10-12,6,5,6.83,24.24,2,2.17,6.78,1,-0.8
STU0002,2024-10-13,6,6,8.76,24.18,2,1.42,8.69,1,1.94
STU0002,2024-10-14,7,0,6.82,23.65,4,3.48,3.91,0,0.59
STU0002,2024-10-15,7,1,6.87,23.75,4,1.38,6.44,0,2.01
STU0002,2024-10-16,7,2,6.62,23.98,2,4.61,7.52,1,0.68
STU0002,2024-10-17,7,3,7.03,23.42,4,4.98,7.55,0,1.41
STU0002,2024-10-18,7,4,5.9,24.06,3,1.47,4.88,1,0.42
STU0002,2024-10-19,7,5,6.85,24.47,0,1.84,5.36,1,3.35
STU0002,2024-10-20,7,6,7.29,23.97,1,1.68,6.1,1,-1.99
STU0002,2024-10-21,8,0,7.29,24.04,2,3.11,5.95,0,2.84
STU0002,2024-10-22,8,1,6.52,24.22,4,2.18,6.56,1,1.87
STU0002,2024-10-23,8,2,5.22,23.95,2,3.63,6.56,1,-0.47
STU0002,2024-10-24,8,3,6.43,23.55,4,2.83,2.51,1,-0.96
STU0002,2024-10-25,8,4,5.52,23.38,3,4.53,6.37,1,1.28
STU0002,2024-10-26,8,5,7.12,24.16,0,0.15,5.53,1,0.45
STU0002,2024-10-27,8,6,7.15,24.03,1,0.58,6.93,0,-0.53
STU0002,2024-10-28,9,0,5.42,24.0,4,3.57,6.87,1,-1.36
STU0002,2024-10-29,9,1,6.1,23.86,4,1.85,6.77,2,3.04
STU0002,2024-10-30,9,2,6.05,24.61,5,2.43,3.86,0,1.37
STU0002,2024-10-31,9,3,5.17,24.06,3,3.24,6.21,1,2.22
STU0002,2024-11-01,9,4,5.73,23.91,2,3.88,6.78,1,2.08
STU0002,2024-11-02,9,5,6.49,25.58,2,2.49,7.84,0,-0.49
STU0002,2024-11-03,9,6,6.76,25.11,0,2.51,7.34,1,0.73
STU0002,2024-11-04,10,0,5.51,24.07,3,3.68,5.36,1,-3.03
STU0002,2024-11-05,10,1,5.46,25.45,0,3.09,6.61,0,0.28
STU0002,2024-11-06,10,2,6.67,24.5,5,1.23,6.67,1,1.16
STU0002,2024-11-07,10,3,6.37,24.13,2,1.04,6.13,1,0.96
STU0002,2024-11-08,10,4,6.74,24.68,2,2.02,4.55,2,2.16
STU0002,2024-11-09,10,5,6.86,25.02,0,2.77,6.2,2,-1.31
STU0002,2024-11-10,10,6,6.78,25.11,0,1.39,4.36,1,1.09
STU0002,2024-11-11,11,0,5.37,25.4,3,2.9,5.23,1,-1.56
STU0002,2024-11-12,11,1,5.94,23.65,3,1.2,6.93,1,-0.59
STU0002,2024-11-13,11,2,5.54,24.58,3,0.28,6.66,1,-2.08
STU0002,2024-11-14,11,3,5.27,25.56,1,1.61,6.49,1,-1.68
STU0002,2024-11-15,11,4,6.05,24.21,3,3.83,5.77,1,2.37
STU0002,2024-11-16,11,5,6.82,24.63,0,3.55,3.91,0,0.35
STU0002,2024-11-17,11,6,6.79,24.73,0,3.79,5.37,0,-2.59
STU0002,2024-11-18,12,0,5.92,25.47,2,2.64,4.19,0,0.75
STU0002,2024-11-19,12,1,6.31,24.15,4,3.22,6.57,0,-2.55
STU0002,2024-11-20,12,2,5.67,25.17,4,3.35,4.6,0,1.34
STU0002,2024-11-21,12,3,5.18,25.74,1,4.24,5.71,1,-1.28
STU0002,2024-11-22,12,4,5.56,25.14,2,2.05,4.7,1,-3.7
STU0002,2024-11-23,12,5,6.94,24.93,0,0.0,2.74,0,-1.57
STU0002,2024-11-24,12,6,7.83,25.16,0,1.75,5.05,0,-2.3
STU0002,2024-11-25,13,0,6.51,25.98,0,1.53,4.37,0,0.06
STU0002,2024-11-26,13,1,5.2,26.16,3,2.76,5.94,2,-1.54
STU0002,2024-11-27,13,2,5.15,25.12,3,2.69,2.81,0,-0.81
STU0002,2024-11-28,13,3,5.59,26.07,0,3.06,6.49,3,-1.3
STU0002,2024-11-29,13,4,5.93,25.36,2,2.45,5.23,0,0.33
STU0002,2024-11-30,13,5,6.61,25.47,1,0.58,4.22,2,-1.94
STU0002,2024-12-01,13,6,6.21,25.51,0,1.46,3.15,0,-1.61
STU0002,2024-12-02,14,0,5.49,25.41,2,0.7,5.83,0,1.23
STU0002,2024-12-03,14,1,5.8,25.75,2,3.83,5.18,0,2.57
STU0002,2024-12-04,14,2,6.07,25.49,0,1.19,4.91,0,-1.76
STU0002,2024-12-05,14,3,5.62,26.0,3,1.34,4.42,0,-1.42
STU0002,2024-12-06,14,4,5.29,24.96,0,2.35,3.88,0,2.24
STU0002,2024-12-07,14,5,7.09,25.51,0,0.01,6.59,1,-0.61
STU0002,2024-12-08,14,6,7.05,25.79,0,0.77,4.72,0,-1.17
STU0002,2024-12-09,15,0,5.41,25.25,2,1.36,3.59,0,0.52
STU0002,2024-12-10,15,1,4.2,25.87,3,2.12,1.33,0,-1.05
STU0002,2024-12-11,15,2,4.86,25.03,4,3.09,3.34,0,-1.44
STU0002,2024-12-12,15,3,5.34,25.54,1,2.94,6.77,1,-1.02
STU0002,2024-12-13,15,4,5.36,25.11,3,1.8,4.5,0,-1.7
STU0002,2024-12-14,15,5,5.54,25.95,0,1.62,3.81,0,-2.27
STU0002,2024-12-15,15,6,7.39,24.92,0,1.6,3.49,0,0.97
STU0002,2024-12-16,16,0,4.08,25.61,0,1.42,6.33,0,-2.79
STU0002,2024-12-17,16,1,5.3,26.39,0,1.33,6.17,1,-1.18
STU0002,2024-12-18,16,2,4.67,26.4,4,3.06,3.4,0,-1.27
STU0002,2024-12-19,16,3,5.61,26.08,3,1.31,6.02,0,0.0
STU0002,2024-12-20,16,4,6.29,24.8,2,1.85,2.49,0,2.74
STU0002,2024-12-21,16,5,5.21,25.84,0,1.21,4.24,0,-0.68
STU0002,2024-12-22,16,6,5.86,24.76,0,2.04,4.43,0,0.58
STU0003,2024-09-02,1,0,7.43,23.45,3,5.11,7.58,2,-0.11
STU0003,2024-09-03,1,1,7.47,22.58,3,2.98,5.92,3,3.8
STU0003,2024-09-04,1,2,8.45,22.39,4,2.51,6.37,1,3.66
STU0003,2024-09-05,1,3,7.06,23.53,4,6.1,5.42,3,3.52
STU0003,2024-09-06,1,4,6.72,23.5,4,3.57,6.21,1,4.87
STU0003,2024-09-07,1,5,8.2,23.89,0,1.72,8.5,1,1.18
STU0003,2024-09-08,1,6,8.22,23.56,1,2.9,8.03,2,0.32
STU0003,2024-09-09,2,0,7.13,23.6,5,2.43,7.62,1,1.87
STU0003,2024-09-10,2,1,8.44,22.53,3,4.56,5.35,2,2.69
STU0003,2024-09-11,2,2,6.92,22.88,5,4.22,7.52,2,2.36
STU0003,2024-09-12,2,3,7.23,23.23,3,3.62,6.01,2,0.58
STU0003,2024-09-13,2,4,6.63,23.13,4,4.58,6.68,2,2.63
STU0003,2024-09-14,2,5,8.47,23.09,1,2.86,7.21,0,2.04
STU0003,2024-09-15,2,6,9.53,23.32,0,2.87,7.57,2,-0.09
STU0003,2024-09-16,3,0,7.74,23.3,4,4.14,8.44,3,0.09
STU0003,2024-09-17,3,1,7.79,22.97,4,3.87,7.02,3,1.67
STU0003,2024-09-18,3,2,6.63,22.8,4,5.03,7.92,1,5.53
STU0003,2024-09-19,3,3,7.46,23.64,4,4.33,8.21,3,3.39
STU0003,2024-09-20,3,4,7.82,22.84,3,4.13,8.32,2,3.4
STU0003,2024-09-21,3,5,9.07,23.04,0,2.36,7.57,1,3.83
STU0003,2024-09-22,3,6,8.45,23.52,0,1.18,7.54,0,3.32
STU0003,2024-09-23,4,0,7.21,24.62,6,3.62,7.07,3,4.35
STU0003,2024-09-24,4,1,6.32,22.11,3,4.38,7.8,3,0.0
STU0003,2024-09-25,4,2,5.91,23.43,3,1.78,7.37,3,1.62
STU0003,2024-09-26,4,3,7.03,22.92,3,2.45,6.34,2,2.28
STU0003,2024-09-27,4,4,7.4,22.5,3,1.62,7.41,3,-0.41
STU0003,2024-09-28,4,5,7.85,23.66,3,2.05,6.37,0,1.96
STU0003,2024-09-29,4,6,9.43,23.64,1,2.82,7.19,1,3.03
STU0003,2024-09-30,5,0,7.44,23.01,3,5.1,8.0,2,3.3
STU0003,2024-10-01,5,1,7.0,22.61,3,2.03,7.77,1,-0.04
STU0003,2024-10-02,5,2,6.05,22.96,4,3.47,5.95,1,2.5
STU0003,2024-10-03,5,3,6.97,23.16,3,3.98,8.76,2,1.18
STU0003,2024-10-04,5,4,7.45,22.88,4,3.47,7.0,2,0.31
STU0003,2024-10-05,5,5,7.59,22.81,0,1.28,7.39,1,2.57
STU0003,2024-10-06,5,6,8.22,22.52,2,3.31,6.01,2,0.52
STU0003,2024-10-07,6,0,7.36,22.37,2,3.42,7.05,2,0.02
STU0003,2024-10-08,6,1,7.06,23.13,4,3.98,6.4,3,0.04
STU0003,2024-10-09,6,2,7.59,23.59,4,3.6,6.57,3,-0.33
STU0003,2024-10-10,6,3,6.72,22.8,5,4.18,6.04,2,0.88
STU0003,2024-10-11,6,4,6.87,23.49,2,5.41,8.19,3,1.11
STU0003,2024-10-12,6,5,8.11,22.78,0,2.99,8.76,1,1.25
STU0003,2024-10-13,6,6,8.11,22.8,2,1.78,6.97,1,0.62
STU0003,2024-10-14,7,0,7.3,22.89,3,3.07,7.58,3,2.01
STU0003,2024-10-15,7,1,7.9,22.3,4,2.7,5.43,1,3.59
STU0003,2024-10-16,7,2,7.87,23.12,2,3.6,7.56,2,-0.97
STU0003,2024-10-17,7,3,6.77,22.97,4,1.6,7.01,2,3.07
STU0003,2024-10-18,7,4,7.72,23.29,3,1.89,6.73,3,3.89
STU0003,2024-10-19,7,5,8.63,23.71,1,1.94,7.04,3,0.39
STU0003,2024-10-20,7,6,9.17,23.34,3,1.09,7.9,1,-0.32
STU0003,2024-10-21,8,0,7.43,23.5,3,2.3,7.09,2,2.62
STU0003,2024-10-22,8,1,7.87,22.97,6,4.02,6.78,1,1.41
STU0003,2024-10-23,8,2,7.1,23.48,4,2.62,7.41,2,4.09
STU0003,2024-10-24,8,3,7.83,23.38,4,4.19,8.7,1,1.28
STU0003,2024-10-25,8,4,6.84,23.19,5,3.2,4.33,2,3.17
STU0003,2024-10-26,8,5,8.52,23.71,1,1.22,7.82,1,5.08
STU0003,2024-10-27,8,6,8.54,23.21,0,2.41,6.91,2,2.08
STU0003,2024-10-28,9,0,6.86,23.95,4,4.57,6.47,2,2.27
STU0003,2024-10-29,9,1,6.17,24.01,5,3.4,5.88,2,1.93
STU0003,2024-10-30,9,2,7.51,23.1,4,5.25,7.88,1,3.84
STU0003,2024-10-31,9,3,8.28,24.58,2,4.04,4.7,2,0.98
STU0003,2024-11-01,9,4,8.45,22.61,2,3.33,4.83,3,-1.3
STU0003,2024-11-02,9,5,8.22,22.46,1,4.14,7.63,1,1.75
STU0003,2024-11-03,9,6,8.21,23.74,0,3.09,3.95,1,1.07
STU0003,2024-11-04,10,0,7.68,23.01,2,2.82,7.44,2,0.93
STU0003,2024-11-05,10,1,7.01,23.35,3,3.71,9.8,1,-0.98
STU0003,2024-11-06,10,2,7.77,22.66,3,3.02,6.89,3,3.0
STU0003,2024-11-07,10,3,7.82,22.29,2,0.96,6.23,3,2.58
STU0003,2024-11-08,10,4,7.17,22.99,3,4.0,8.12,1,2.25
STU0003,2024-11-09,10,5,8.76,23.29,2,5.31,7.07,2,0.69
STU0003,2024-11-10,10,6,8.31,23.73,1,1.48,7.45,3,2.47
STU0003,2024-11-11,11,0,7.88,22.88,5,4.08,6.06,2,0.31
STU0003,2024-11-12,11,1,6.92,23.09,4,2.61,8.46,2,0.74
STU0003,2024-11-13,11,2,6.38,22.93,3,3.91,6.76,1,1.22
STU0003,2024-11-14,11,3,7.12,23.32,3,5.48,4.91,3,1.46
STU0003,2024-11-15,11,4,7.82,23.04,5,3.41,5.88,3,1.63
STU0003,2024-11-16,11,5,8.33,24.12,0,3.1,6.49,1,1.91
STU0003,2024-11-17,11,6,7.3,23.11,3,3.39,7.12,2,1.36
STU0003,2024-11-18,12,0,8.11,22.9,4,4.95,6.27,3,-0.5
STU0003,2024-11-19,12,1,8.28,22.81,3,1.91,6.65,1,0.89
STU0003,2024-11-20,12,2,7.22,23.48,4,4.11,5.89,1,4.5
STU0003,2024-11-21,12,3,6.86,23.83,3,3.8,8.48,3,1.63
STU0003,2024-11-22,12,4,7.07,22.97,4,4.69,7.21,2,4.26
STU0003,2024-11-23,12,5,8.43,23.66,0,-0.13,7.67,1,1.03
STU0003,2024-11-24,12,6,8.35,23.47,2,2.59,6.3,2,1.47
STU0003,2024-11-25,13,0,7.62,22.76,3,3.88,7.22,2,1.4
STU0003,2024-11-26,13,1,6.2,22.78,5,3.5,6.9,3,0.73
STU0003,2024-11-27,13,2,6.37,22.92,3,2.83,6.99,2,1.79
STU0003,2024-11-28,13,3,7.48,23.91,3,4.08,6.59,1,0.92
STU0003,2024-11-29,13,4,7.01,23.18,7,3.08,6.7,2,2.39
STU0003,2024-11-30,13,5,8.36,24.14,0,0.11,6.6,2,-0.55
STU0003,2024-12-01,13,6,6.4,23.79,1,1.41,6.02,1,1.97
STU0003,2024-12-02,14,0,6.92,23.25,0,2.94,5.85,2,0.99
STU0003,2024-12-03,14,1,7.78,22.07,4,4.36,9.43,2,2.29
STU0003,2024-12-04,14,2,6.22,21.8,5,3.79,8.61,1,2.58
STU0003,2024-12-05,14,3,8.42,23.21,4,3.81,5.31,3,0.88
STU0003,2024-12-06,14,4,7.6,22.22,2,5.24,6.78,3,1.68
STU0003,2024-12-07,14,5,7.09,23.95,0,3.2,7.23,0,2.05
STU0003,2024-12-08,14,6,9.52,23.75,1,3.58,7.45,2,0.16
STU0003,2024-12-09,15,0,7.44,23.52,3,5.22,7.09,1,3.3
STU0003,2024-12-10,15,1,7.13,23.38,3,3.74,7.79,2,-1.19
STU0003,2024-12-11,15,2,6.63,23.46,4,3.28,5.57,1,-1.23
STU0003,2024-12-12,15,3,7.24,22.7,3,3.73,7.64,3,-0.47
STU0003,2024-12-13,15,4,8.0,23.49,3,4.0,6.65,2,4.06
STU0003,2024-12-14,15,5,8.56,23.75,0,1.02,6.95,2,-0.49
STU0003,2024-12-15,15,6,7.57,23.56,0,1.71,6.69,1,0.34
STU0003,2024-12-16,16,0,7.72,22.35,2,3.17,8.08,2,1.1
STU0003,2024-12-17,16,1,7.33,22.13,4,4.18,6.71,3,0.11
STU0003,2024-12-18,16,2,7.98,23.08,3,3.78,7.07,3,0.18
STU0003,2024-12-19,16,3,6.84,23.52,3,4.7,9.24,2,2.82
STU0003,2024-12-20,16,4,6.61,23.38,4,4.27,6.43,1,2.55
STU0003,2024-12-21,16,5,6.96,23.34,2,2.69,9.54,2,0.82
STU0003,2024-12-22,16,6,8.22,23.48,0,1.56,6.53,0,1.87
STU0004,2024-09-02,1,0,7.15,22.16,4,4.52,7.47,2,2.69
STU0004,2024-09-03,1,1,7.71,23.15,3,4.08,8.63,2,4.95
STU0004,2024-09-04,1,2,6.98,23.02,3,4.02,5.11,2,0.16
STU0004,2024-09-05,1,3,7.38,23.5,4,1.43,9.65,2,0.64
STU0004,2024-09-06,1,4,7.39,23.09,3,4.0,6.47,2,0.77
STU0004,2024-09-07,1,5,7.34,23.57,2,3.01,8.18,2,1.0
STU0004,2024-09-08,1,6,8.7,22.82,0,1.54,8.5,2,2.53
STU0004,2024-09-09,2,0,7.94,22.56,4,3.67,8.22,2,1.22
STU0004,2024-09-10,2,1,7.62,23.44,3,3.74,5.93,0,2.1
